Rep,Flat,X,Y,X Distance,Y Distance,# Aphids,Distance (cm^2),Plant Type,Hour 1,Hour 3,Hour 6,Hour 24,ELISA (PAV)
7,A,1,A,9,43,40,43.93,AF,0,0,0,0,0
7,A,2,A,3,43,40,43.10,AF,0,0,0,0,1
7,A,3,A,3,43,40,43.10,AF,0,0,0,0,0
7,A,4,A,9,43,40,43.93,AF,0,0,0,0,1
7,A,1,B,9,37,40,38.08,AF,0,0,0,0,0
7,A,2,B,3,37,40,37.12,AF,0,0,0,0,0
7,A,3,B,3,37,40,37.12,AF,0,0,0,0,0
7,A,4,B,9,37,40,38.08,AF,0,0,0,0,0
7,A,1,C,9,31,40,32.28,AF,0,0,0,0,1
7,A,2,C,3,31,40,31.14,AF,0,0,0,0,0
7,A,3,C,3,31,40,31.14,AF,0,0,1,0,0
7,A,4,C,9,31,40,32.28,AF,0,0,0,0,0
7,A,1,D,9,25,40,26.57,AF,0,0,0,0,0
7,A,2,D,3,25,40,25.18,AF,0,0,0,1,1
7,A,3,D,3,25,40,25.18,AF,0,0,0,0,0
7,A,4,D,9,25,40,26.57,AF,0,0,0,0,0
7,A,1,E,9,19,40,21.02,AF,2,2,2,2,1
7,A,2,E,3,19,40,19.24,AF,0,0,0,0,0
7,A,3,E,3,19,40,19.24,AF,0,0,0,0,0
7,A,4,E,9,19,40,21.02,AF,0,0,0,0,0
7,A,1,F,9,13,40,15.81,AF,1,3,2,2,1
7,A,2,F,3,13,40,13.34,AF,0,0,0,0,0
7,A,3,F,3,13,40,13.34,AF,0,0,0,0,0
7,A,4,F,9,13,40,15.81,AF,0,0,0,0,0
7,A,1,G,9,7,40,11.40,AF,0,1,1,2,1
7,A,2,G,3,7,40,7.62,AF,0,0,0,0,0
7,A,3,G,3,7,40,7.62,AF,1,1,1,1,1
7,A,4,G,9,7,40,11.40,AF,1,1,1,1,1
7,A,1,H,9,1,40,9.06,AF,0,0,1,2,1
7,A,2,H,3,1,40,3.16,AF,1,0,0,3,1
7,A,3,H,3,1,40,3.16,AF,1,1,1,1,0
7,A,4,H,9,1,40,9.06,AF,0,0,0,0,0
7,B,1,A,9,43,40,43.93,BT,0,0,0,0,0
7,B,2,A,3,43,40,43.10,BT,0,0,0,0,0
7,B,3,A,3,43,40,43.10,BT,0,0,0,0,0
7,B,4,A,9,43,40,43.93,BT,0,0,0,0,0
7,B,1,B,9,37,40,38.08,BT,0,0,0,0,0
